time,장명(배) 유입유량 순시
2020-07-08,411.93680555555557
2020-07-09,474.81041666666664
2020-07-10,419.3576388888889
2020-07-11,447.32708333333335
2020-07-12,424.59027777777777
2020-07-13,433.1743055555556
2020-07-14,402.9875
2020-07-15,453.1847222222222
2020-07-16,428.25138888888887
2020-07-17,436.81666666666666
2020-07-18,456.0284722222222
2020-07-19,470.01666666666665
2020-07-20,412.82708333333335
2020-07-21,466.95208333333335
2020-07-22,419.43888888888887
2020-07-23,428.73333333333335
2020-07-24,423.00555555555553
2020-07-25,440.99930555555557
2020-07-26,451.49652777777777
2020-07-27,452.06041666666664
2020-07-28,441.4951388888889
2020-07-29,430.8798611111111
2020-07-30,456.22291666666666
2020-07-31,464.0875
2020-08-01,447.2125
2020-08-02,475.69791666666663
2020-08-03,437.4826388888889
